NPUA80077,UP9000,57DBB31A40DEC60A229C60B79EA2B4D2,,UP9000-NPUA80077_00-WARHAWKNETWRKDRM,Warhawk
NPUA80079,UP9000,bc488b9208ee8f699115171086f37e68,,UP9000-NPUA80079_00-TWISTEDMETAL0100,Twisted Metal®
NPUA80083,UP9000,2551D91C5AD4F3C9F25246F6E1EF5480,,UP9000-NPUA80083_00-FLOWERPS3PRIVATE,Flower
NPUA80088,UP9000,828DE66425BD58F106145D75B98A206F,,UP9000-NPUA80088_00-CALLINGALLCARS01,Calling All Cars
NPUA80091,UP9000,B4C500FBBDA8EAA42B4E4C282E68A98D,,UP9000-NPUA80091_00-0000000000000000,Piyotama
NPUA80092,UP9000,6041115F4858FC91CEAB09A682C25216,,UP9000-NPUA80092_00-GSSKY00010000100,Go Sports - Skydiving
NPUA80098,UP9000,05837D6F5624710A184861DF1F786A9A,,UP9000-NPUA80098_00-EVERYDAYSHOOTERF,Everyday Shooter
NPUA80100,UP9000,,,UP9000-NPUA80100_00-PJRACERSDEMO0001,PIXEL JUNK RACERS (DEMO)
NPUA80104,UP9000,C46FB423D35B0372CAC6BB515D5E2805,,UP9000-NPUA80104_00-TOYHOME000100001,Toy Home
NPUA80105,UP9000,UNLOCK/LICENSE BY DLC,,UP9000-NPUA80105_00-WIPEOUTHDBASE000,Wipeout HD
NPUA80108,UP9000,507E9C8863CA764D24FC9C99B1C8F485,,UP9000-NPUA80108_00-PJMONSTSFULL0001,PixelJunk Monsters
NPUA80127,UP9000,DD79B8175F8ED95B46CFA9126867A77B,,UP9000-NPUA80127_00-AQUATOPIAPS30000,Aquatopia
NPUA80128,UP9000,A068696F92046ECB056B1E25C25C050B,,UP9000-NPUA80128_00-TRIALSOFTOPOQ000,The Trials of Topoq
NPUA80129,UP9000,80CD12379D8C8C66BF794617CAEA81B4,,UP9000-NPUA80129_00-CREATUREFEAT0000,Operation Creature Feature
NPUA80132,UP9000,E7A95724D4870A36C755D1DEC15D4C0E,,UP9000-NPUA80132_00-MESMERIZEPACK001,Mesmerize
NPUA80132,UP9000,EE9DE2125CC638FCA965B2E48314516B,,UP9000-NPUA80132_00-MESMERIZEPACK002,Mesmerize: Trace
NPUA80133,UP9000,82381E0F8B5F4D476266B1D95D534B1E,,UP9000-NPUA80133_00-TORIEMAKIPS30000,Tori Emaki
NPUA80134,UP9000,1dba9f8d82ea720bcd87a92dbf98150b,,UP9000-NPUA80134_00-ECHOCHROME000000,echochrome™ PS3™ Full Game
NPUA80136,UP9000,3C1F4788BDE253CC5E7CE3FBF744CCD7,,UP9000-NPUA80136_00-SIRENBCEPISODE01,Siren - Blood Curse Episode 1
NPUA80137,UP0017,6BB53F5C0E38F176400F5860369AEAB3,,UP0017-NPUA80137_00-WHEELOFFORTUNE01,Wheel of Fortune
NPUA80139,UP9000,bb6f125f190139ebd21b37ba97cd8a6d,,UP9000-NPUA80139_00-FATPRINCESS00001,Fat Princess
NPUA80145,UP9000,A84C34FFDB6E4EB0AE001FF2F5921C52,,UP9000-NPUA80145_00-RATCHET550000001,Ratchet & Clank Future - Quest For Booty
NPUA80154,UP9000,d399495ac919293d2c30c990474ad4df,,UP9000-NPUA80154_00-THELASTGUY000000,The Last Guy™
NPUA80157,UP9000,1199061A8CA99370AFC48F4E057E1DC8,,UP9000-NPUA80157_00-GELEFUNKPSFULGAM,Elefunk
NPUA80160,UP9000,FEF15019D65D8D69D08A7FA1BA89D6F8,,UP9000-NPUA80160_00-PIXJEDENFULL0001,PixelJunk Eden
NPUA80216,UP9000,E2BD1E72DD747E414C0B8B8766868910,,UP9000-NPUA80216_00-CRASHCOMFULL0001,Crash Commando
